French,Spanish,English,FrCommon
patiner,patinar,to skate,Common
pâtir,sufrir,to suffer,Less Common
patronner,patrocinar,to sponsor,Less Common
patrouiller,patrullar,to patrol,Less Common
pâturer,pastar,to graze,Less Common
paupériser,empobrecer,to impoverish,Rare
pauser,pausar,to pause,Rare
pavaner,pavonearse,to strut,Less Common
paver,pavimentar,to pave,Less Common
pavoiser,engalanar,to deck,Less Common
payer,pagar,to pay,Very Common
peaufiner,pulir,to polish,Common
pécher,pecar,to sin,Less Common
pédaler,pedalear,to pedal,Common
peigner,peinar,to comb,Less Common
peindre,pintar,to paint,Very Common
peiner,esforzarse,to struggle,Common
peler,pelar,to peel,Common
pelleteur,excavar,to dig,Rare
pelotonner,amontonar,to pile,Less Common
pelucher,pelar,to peel,Rare
pénaliser,penalizar,to penalize,Common
pencher,inclinarse,to lean,Very Common
pendre,colgar,to hang,Very Common
pénétrer,penetrar,to penetrate,Very Common
penser,pensar,to think,Very Common
pépiér,piar,to chirp,Rare
percer,perforar,to pierce,Very Common
percevoir,percibir,to perceive,Very Common
percher,posarse,to perch,Common
percuter,chocar,to hit,Common
perdre,perder,to lose,Very Common
se perdre,perderse,to get lost,Common
pérenniser,perpetuar,to perpetuate,Less Common
perfectionner,perfeccionar,to perfect,Common
perforer,perforar,to perforate,Less Common
péricliter,declinar,to decline,Rare
périr,perecer,to perish,Common
périphraser,periphrasis,to paraphrase,Rare
permettre,permitir,to allow,Very Common
permuter,permutar,to swap,Less Common
pérorer,hablar,to talk,Rare
perpétrer,perpetrar,to perpetrate,Less Common
perpétuer,perpetuar,to perpetuate,Less Common
perquisitionner,registrar,to search,Less Common
persécuter,perseguir,to persecute,Less Common
persévérer,perseverar,to persevere,Common
persifler,burlarse,to mock,Rare
persiller,espolvorear,to sprinkle,Rare
persister,persistir,to persist,Very Common
personnaliser,personalizar,to personalize,Common
personnifier,personificar,to personify,Less Common
persuader,persuadir,to persuade,Very Common
perturber,perturbar,to disturb,Very Common
pervertir,pervertir,to pervert,Less Common
peser,pesar,to weigh,Very Common
pester,quejarse,to complain,Common
pestiférer,pestiferar,to infect,Rare
pétarader,petardear,to crackle,Less Common
pétarder,petardear,to explode,Less Common
pétrir,amasar,to knead,Common
peupler,poblar,to populate,Common
philosopher,filosofar,to philosophize,Common
photocopier,fotocopiar,to photocopy,Common
photographier,fotografiar,to photograph,Very Common
phraser,frasear,to phrase,Rare
piaffer,patalear,to prance,Less Common
piailler,chillar,to screech,Less Common
pianoter,teclear,to tap,Common
picorer,picotear,to peck,Less Common
picoter,picotear,to nibble,Less Common
piéger,atrapar,to trap,Common
pierrer,empedrar,to stone,Rare
piétiner,pisotear,to trample,Common
pigmenter,pigmentar,to pigment,Less Common
piler,machacar,to crush,Less Common
piller,saquear,to pillage,Common
pilonner,machacar,to bombard,Less Common
piloter,pilotar,to pilot,Very Common
pimenter,condimentar,to spice,Less Common
pincer,pellizcar,to pinch,Common
piocher,cavar,to dig,Less Common
pique-niquer,hacer un picnic,to picnic,Less Common
piquer,pinchar,to sting,Very Common
piqueter,hacer piquetes,to picket,Less Common
pirater,piratear,to pirate,Common
pirouetter,hacer piruetas,to pirouette,Less Common
pister,seguir la pista,to track,Less Common
pistonner,empujar,to push,Less Common
pivoter,pivotar,to pivot,Common
placarder,pegar carteles,to plaster,Less Common
placer,colocar,to place,Very Common
plafonner,limitar,to cap,Less Common
plagier,plagiar,to plagiarize,Less Common
plaider,abogar,to plead,Common
plaindre,compadecer,to pity,Very Common
se plaindre,quejarse,to complain,Common
plaire,agradar,to please,Very Common
plaisanter,bromear,to joke,Very Common
plancher,trabajar,to work,Common
planer,planear,to glide,Common
planifier,planificar,to plan,Very Common
planter,plantar,to plant,Very Common
plaquer,plaquear,to tackle,Common
plastifier,plastificar,to laminate,Less Common
plastiquer,hacer plástico,to plasticize,Less Common
plastronner,ostentar,to boast,Rare
platiner,platinizar,to plate,Rare
plâtrer,enyesar,to plaster,Less Common
plébisciter,votar a favor,to vote for,Less Common
pleurer,llorar,to cry,Very Common
pleurnicher,lloriquear,to whine,Common
pleuvoir,llover,to rain,Very Common
plier,doblar,to fold,Very Common
plisser,fruncir,to pucker,Less Common
plomber,soldar,to plomb,Common
plonger,bucear,to dive,Very Common
ployer,plegar,to fold,Less Common
plumer,desplumar,to pluck,Less Common
pocher,escalfar,to poach,Rare
poêler,freír,to fry,Less Common
poétiser,poetizar,to poetize,Less Common
poignarder,apuñalar,to stab,Common
poingçonner,punzonar,to punch,Rare
poindre,asomar,to dawn,Less Common
pointer,apuntar,to point,Very Common
poivrer,pimentar,to pepper,Less Common
polariser,polarizar,to polarize,Less Common
polémiquer,polemizar,to argue,Less Common
policer,civilizar,to civilize,Rare
polir,pulir,to polish,Common
polissonner,travesear,to misbehave,Rare
politiser,politizar,to politicize,Less Common
polluer,contaminar,to pollute,Common
polycopier,policopiar,to photocopy,Rare
pommader,aplicar pomada,to apply ointment,Rare
pomper,bombear,to pump,Common
pomponner,arreglarse,to dress up,Less Common
poncer,lijar,to sand,Less Common
ponctionner,sangrar,to bleed,Less Common
ponctuer,puntuar,to punctuate,Common
pondérer,ponderar,to ponder,Less Common
pondre,poner,to lay (eggs),Common
populariser,popularizar,to popularize,Less Common
porter,llevar,to carry,Very Common
poser,posar,to pose,Very Common
positionner,posicionar,to position,Common
posséder,poseer,to possess,Very Common
postdater,postfechar,to postdate,Rare
poster,enviar,to post,Common
postillonner,escupir,to splutter,Rare
postuler,postular,to apply,Common
potasser,empollar,to cram,Less Common
poudrer,empolvar,to powder,Less Common
poudroyer,polvorear,to dust,Rare
pouffer,reírse a carcajadas,to burst out laughing,Less Common
pouponner,cuidar a un bebé,to pamper,Less Common
pourchasser,perseguir,to hunt down,Less Common
pourfendre,destrozar,to slash,Rare
pourlécher,relamer,to lick,Rare
pourprer,teñir de púrpura,to dye purple,Rare
pourrir,pudrir,to rot,Common
poursuivre,perseguir,to pursue,Very Common
pourvoir,proveer,to provide,Common
pousser,empujar,to push,Very Common
pouvoir,poder,to be able,Very Common
praliner,bañar en praliné,to coat with praline,Rare
pratiquer,practicar,to practice,Very Common
précéder,preceder,to precede,Very Common
prêcher,predicar,to preach,Common
précipiter,precipitar,to precipitate,Very Common
préciser,precisar,to specify,Very Common
précompter,precontar,to pre-count,Rare
préconiser,recomendar,to advocate,Very Common
prédestiner,predestinar,to predestine,Less Common
prédéterminer,predeterminar,to predetermine,Rare
prédire,predecir,to predict,Very Common
prédisposer,predisponer,to predispose,Less Common
prédominer,predominar,to predominate,Less Common
préfacer,prefaecer,to preface,Less Common
préférer,preferir,to prefer,Very Common
préfigurer,prefigurar,to prefigure,Less Common
préfixer,prefijar,to prefix,Less Common
préformer,preformar,to preform,Rare
préjudicier,perjudicar,to prejudice,Rare
préjuger,prejuzgar,to prejudge,Less Common
prélasser,recrearse,to relax,Rare
prélever,recoger,to take,Common
préluder,preludiar,to prelude,Rare
préméditer,premeditar,to premeditate,Less Common
prémunir,precaver,to guard against,Less Common
prendre,tomar,to take,Very Common
prénommer,llamar,to name,Less Common
préoccuper,preocupar,to worry,Very Common
préparer,preparar,to prepare,Very Common
se préparer,prepararse,to get ready,Very Common
préposer,preponer,to appoint,Rare
présager,presagiar,to foretell,Less Common
prescrire,prescribir,to prescribe,Common
présenter,presentar,to present,Very Common
préserver,preservar,to preserve,Very Common
présider,presidir,to preside,Common
pressentir,presentir,to have a premonition,Common
presser,presionar,to press,Very Common
pressurer,presionar,to squeeze,Rare
pressuriser,presurizar,to pressurize,Rare
présumer,presumir,to presume,Common
prétendre,pretender,to claim,Very Common
prêter,prestar,to lend,Very Common
prétexter,pretextar,to use as an excuse,Less Common
prévaloir,prevalecer,to prevail,Less Common
prévenir,prevenir,to prevent,Very Common
prévoir,prever,to foresee,Very Common
prier,rezar,to pray,Very Common
primer,primar,to prime,Less Common
priser,valorar,to value,Rare
privatiser,privatizar,to privatize,Common
priver,privar,to deprive,Very Common
privilégier,privilegiar,to privilege,Very Common
procéder,proceder,to proceed,Very Common
proclamer,proclamar,to proclaim,Very Common
procréer,procrear,to procreate,Less Common
procurer,procurar,to procure,Very Common
prodiguer,prodigar,to lavish,Common
produire,producir,to produce,Very Common
profaner,profanar,to desecrate,Less Common
proférer,proferir,to utter,Common
professer,profesar,to profess,Less Common
profiler,perfilar,to profile,Common
profiter,aprovechar,to profit,Very Common
programmer,programar,to program,Very Common
progresser,progresar,to progress,Very Common
prohiber,prohibir,to prohibit,Less Common
projeter,proyectar,to project,Very Common
proliférer,proliferar,to proliferate,Less Common
prolonger,prolongar,to prolong,Very Common
promener,pasear,to walk,Very Common
promettre,prometer,to promise,Very Common
promouvoir,promover,to promote,Very Common
promulguer,promulgar,to promulgate,Less Common
prôner,predicar,to advocate,Less Common
prononcer,pronunciar,to pronounce,Very Common
pronostiquer,pronosticar,to predict,Less Common
propager,propagar,to spread,Common
prophétiser,profetizar,to prophesy,Less Common
proportionner,proporcionar,to proportion,Less Common
proposer,proponer,to propose,Very Common
propulser,propulsar,to propel,Less Common
proscrire,proscribir,to proscribe,Less Common
prospecter,prospectar,to prospect,Common
prospérer,prosperar,to prosper,Common
prosterné,prosternarse,to prostrate,Rare
protéger,proteger,to protect,Very Common
protester,protestar,to protest,Very Common
prouver,probar,to prove,Very Common
provenir,provenir,to come from,Very Common
provoquer,provocar,to provoke,Very Common
psalmodier,salmodiar,to chant,Rare
psychanalyser,psicoanalizar,to psychoanalyze,Less Common
publier,publicar,to publish,Very Common
puiser,sacar,to draw,Common
pulluler,pulular,to swarm,Less Common
pulvériser,pulverizar,to pulverize,Common
punir,castigar,to punish,Very Common
purger,purgar,to purge,Common
purifier,purificar,to purify,Common
putréfier,putrefactar,to putrefy,Rare
pyrograver,pirograbar,to pyrograph,Rare
quadriller,cuadricular,to grid,Less Common
quadrupler,cuadruplicar,to quadruple,Less Common
qualifier,calificar,to qualify,Very Common
quantifier,cuantificar,to quantify,Less Common
quémander,mendigar,to beg,Less Common
quereller,reñir,to quarrel,Less Common
questionner,cuestionar,to question,Very Common
quêter,buscar,to seek,Less Common
quintupler,quintuplicar,to quintuple,Rare
quitter,dejar,to leave,Very Common
racheter,redimir,to redeem,Very Common
racler,raspar,to scrape,Common
raconter,contar,to tell,Very Common
radier,radiar,to strike off,Less Common
radiodiffuser,radiodifundir,to broadcast,Less Common
radiographier,radiografiar,to X-ray,Less Common
radioguider,radioguiar,to radio-guide,Rare
radioscoper,radioscopiar,to radioscope,Rare
radoter,divagar,to ramble,Less Common
redoubler,redoblar,to redouble,Common
radoucir,suavizar,to soften,Rare
raffermir,reafirmar,to firm up,Less Common
raffiner,refinar,to refine,Common
raffoler,chiflar,to be crazy about,Less Common
rafistoler,remendar,to patch up,Less Common
rafler,llevarse,to snatch up,Less Common
rafraîchir,refrescar,to refresh,Common
ragaillardir,revigorizar,to invigorate,Rare
rager,rabiar,to rage,Less Common
ragréer,recalcar,to reiterate,Rare
raidir,endurecer,to stiffen,Less Common
railler,burlarse,to mock,Less Common
rainurer,ranurar,to groove,Rare
raisonner,razonar,to reason,Very Common
rajeunir,rejuvenecer,to rejuvenate,Common
rajouter,añadir,to add,Very Common
ralentir,ralentizar,to slow down,Very Common
râler,quejarse,to complain,Common
rallier,reunir,to rally,Common
rallonger,alargar,to lengthen,Less Common
rallumer,volver a encender,to relight,Common
ramasser,recoger,to gather,Very Common
ramender,emendar,to amend,Rare
ramener,traer de vuelta,to bring back,Very Common
ramer,remar,to row,Common
rameuter,reunir,to round up,Less Common
ramifier,ramificar,to branch,Rare
ramollir,ablandar,to soften,Less Common
ramoner,deshollinar,to sweep,Less Common
ramper,arrastrarse,to crawl,Common
rancir,rancio,to turn rancid,Rare
rançonner,extorsionar,to extort,Less Common
ranger,ordenar,to tidy up,Very Common
ranimer,reanimar,to revive,Common
rapatrier,repatriar,to repatriate,Common
râper,rallar,to grate,Less Common
rapetasser,remendar,to patch up,Rare
rapetisser,empequeñecer,to shrink,Less Common
rapiécer,remendar,to patch up,Less Common
rappeler,recordar,to remind,Very Common
se rappeler,acordarse,to remember,Common
rappliquer,aplicar,to reapply,Less Common
rapporter,informar,to report,Very Common
rapprocher,acercar,to bring closer,Very Common
raréfier,escasear,to rarefy,Rare
raser,afeitar,to shave,Very Common
rassasier,saciar,to satisfy,Common
rassembler,reunir,to gather,Very Common
rasséréner,tranquilizar,to calm down,Less Common
rassurer,asegurar,to reassure,Very Common
ratatiner,marchitar,to shrivel,Rare
râter,fallar,to fail,Very Common
ratifier,ratificar,to ratify,Common
rationaliser,racionalizar,to rationalize,Less Common
rationner,racionar,to ration,Less Common
ratisser,rastrillar,to rake,Common
rattacher,volver a atar,to retie,Less Common
rattraper,alcanzar,to catch up,Very Common
raturer,tachar,to cross out,Less Common
ravager,devastar,to ravage,Common
ravaler,tragar,to swallow,Less Common
ravauder,remendar,to patch up,Rare
ravigoter,revigorizar,to invigorate,Rare
raviner,arrasar,to erode,Rare
ravir,encantar,to delight,Very Common
raviser,cambiar de opinión,to reconsider,Less Common
ravitailler,aprovisionar,to supply,Common
raviver,avivar,to revive,Less Common
rayer,rayar,to cross out,Common
rayonner,irradiar,to radiate,Common
réactiver,reactivar,to reactivate,Common
réadapter,readaptar,to readapt,Less Common
réaffirmer,reafirmar,to reaffirm,Common
réagir,reaccionar,to react,Very Common
réaliser,realizar,to realize,Very Common
réamorcer,reactivar,to restart,Less Common
réanimer,reanimar,to reanimate,Common
réapparaître,reaparecer,to reappear,Common
rebaisser,rebajar,to lower again,Rare
rebaptiser,rebautizar,to rename,Less Common
rebâtir,reconstruir,to rebuild,Less Common
rebeller,rebelarse,to rebel,Less Common
rebiffer,resistir,to resist,Rare
reblanchir,volver a blanquear,to re-whiten,Rare
reboiser,reforestar,to reforest,Less Common
rebondir,rebotar,to rebound,Common
rebooter,reiniciar,to reboot,Rare
rebrousser,volver sobre sus pasos,to retrace steps,Less Common
rebuter,desalentar,to discourage,Less Common
recacheter,volver a sellar,to reseal,Rare
recaler,reprobar,to fail,Less Common
récapituler,recapitular,to recap,Common
recaser,volver a colocar,to relocate,Rare
récéder,retroceder,to recede,Rare
receler,esconder,to conceal,Less Common
recéler,esconder,to conceal again,Less Common
recenser,censar,to take a census,Common
réceptionner,recibir,to receive,Common
recevoir,recibir,to receive,Very Common
recharger,recargar,to recharge,Common
réchauffer,recalentar,to reheat,Very Common
rechausser,volver a calzar,to reshoe,Very Common
rechercher,buscar,to search,Less Common
rechigner,renegar,to grumble,Less Common
rechuter,recaer,to relapse,Common
récidiver,reincidir,to relapse again,Common
réciter,recitar,to recite,Very Common
réclamer,reclamar,to claim,Less Common
reclasser,volver a clasificar,to reclassify,Common
reclouer,volver a clavar,to re-nail,Very Common
reclure,encerrar,to enclose,Very Common
recoiffer,volver a peinar,to redo hair,Very Common
recoller,volver a pegar,to re-stick,Very Common
recolorer,volver a colorear,to recolor,Less Common
récolter,cosechar,to harvest,Less Common
recommander,recomendar,to recommend,Common
recommencer,volver a comenzar,to restart,Common
recomparaître,reaparecer,reappear,Rare
récompenser,recompensar,reward,Rare
recomposer,recomponer,recompose,Very Common
recompter,recomptar,recount,Less Common
réconcilier,reconciliar,reconcile,Common
reconduire,reconducir,reintroduce,Rare
reconforter,reconfortar,comfort,Common
recongeler,recongelar,refreeze,Very Common
reconnaître,reconocer,recognize,Less Common
reconquérir,reconquistar,reconquer,Common
reconsidérer,reconsiderar,reconsider,Less Common
reconsolider,reconsolidar,reconsolidate,Less Common
reconstituer,reconstruir,reconstitute,Common
reconstruire,reconstruir,rebuild,Less Common
reconvertir,reconvertir,reconvert,Very Common
recopier,recopiar,recopy,Less Common
recorriger,recorrigir,re-correct,Less Common
recoudre,recoser,re-sew,Rare
recouper,recortar,re-cut,Rare
recourber,recubrir,re-cover,Rare
recourir,recurrir,resort,Common
recouvrer,recobrar,recover,Less Common
recouvrir,recubrir,re-cover,Very Common
recracher,escupir de nuevo,re-spit,Common
recréer,recrear,recreate,Very Common
récrépir,reuntar,re-plaster,Rare
recreuser,excavar de nuevo,re-dig,Very Common
récrier,protestar,cry out again,Less Common
récriminer,recriminar,recriminate,Less Common
récrire,reescribir,rewrite,Very Common
recroqueviller,encogerse,shrink again,Common
recruter,reclutar,recruit,Rare
rectifier,rectificar,rectify,Less Common
recueillir,recoger,collect,Rare
recuire,recocer,re-cook,Common
récupérer,recuperar,recover,Very Common
récurer,restregar,scour,Rare
récuser,recusar,recuse,Very Common
recycler,reciclar,recycle,Common
redécouvrir,redescubrir,rediscover,Less Common
redéfaire,rehacer,undo,Common
redemander,volver a pedir,ask again,Very Common
redémollir,volver a ablandar,soften again,Less Common
redescendre,bajar de nuevo,descend again,Common
redevenir,volver a ser,become again,Common
redevoir,volver a deber,owe again,Very Common
rédiger,redactar,write up,Very Common
redire,repetir,repeat,Common
rediscuter,volver a discutir,discuss again,Less Common
redistribuer,redistribuir,redistribute,Very Common
redonner,volver a dar,give back,Less Common
redorer,redorar,re-gild,Less Common
redoubler,redoblar,redouble,Common
redouter,temer de nuevo,dread again,Common
redresser,enderezar,straighten,Less Common
réduire,reducir,reduce,Less Common
rééditer,reeditar,reissue,Less Common
rééduquer,reeducar,re-educate,Very Common
relire,releer,re-read,Rare
réembaucher,volver a contratar,rehire,Less Common
rééquilibrer,reequilibrar,rebalance,Less Common
réer,reaparcer,reappear,Very Common
réévaluer,reevaluar,reevaluate,Less Common
réexaminer,reexaminar,re-examine,Very Common
réexpédier,reexpedir,reship,Less Common
réexporter,reexportar,re-export,Less Common
refaçonner,rehacer,reshape,Less Common
refaire,rehacer,redo,Very Common
refendre,refundir,recast,Rare
référencer,referenciar,reference,Less Common
référer (en),referir,refer,Less Common
refermer,cerrar de nuevo,reclose,Very Common
refiler,reenviar,forward again,Less Common
réfléchir,reflexionar,reflect,Very Common
refléter,reflejar,reflect,Common
refleurir,volver a florecer,reflower,Rare
refondre,refundir,recast,Less Common
reforger,re-forjar,reforge,Rare
reformer,reformar,reform,Common
reformuler,reformular,reformulate,Common
refouler,reprimir,repress,Less Common
réfracter,refractar,refract,Rare
réfréner,refrenar,restrain,Less Common
réfrigérer,refrigerar,refrigerate,Less Common
refroidir,enfriar,cool,Common
réfugier,refugiar,shelter,Rare
refuser,rechazar,refuse,Very Common
réfuter,refutar,refute,Common
regagner,recuperar,regain,Common
régaler,festejar,feast,Common
regarder,mirar,watch,Very Common
regarnir,reabastecer,refill,Rare
regazonner,volver a sembrar,resow,Rare
regler,reglamentar,regulate,Very Common
régénérer,regenerar,regenerate,Less Common
régenter,regentar,rule,Rare
régir,gobernar,govern,Common
réglementer,reglamentar,regulate,Common
régner,reinar,reign,Very Common
regonfler,volver a inflar,reinflate,Less Common
regorger,regorgar,overflow,Less Common
regratter,rascar de nuevo,re-scratch,Rare
regresser,retroceder,regress,Less Common
regretter,lamentar,regret,Very Common
regrimper,volver a trepar,climb again,Rare
regrossir,engordar de nuevo,regain weight,Rare
regrouper,reagrupar,regroup,Very Common
régulariser,regularizar,regularize,Common
régurgiter,regurgitar,regurgitate,Less Common
réhabiliter,rehabilitar,rehabilitate,Common
rehausser,realzar,enhance,Common
réimporter,reimportar,re-import,Less Common
réimprimer,reimprimir,reprint,Less Common
réincarner,reencarnar,reincarnate,Less Common
réincorporer,reincorporar,reincorporate,Rare
réinfecter,reinfectar,reinfect,Rare
réinsérer,reintegrar,reintegrate,Less Common
réintégrer,reingresar,reintegrate,Common
réinventer,reinventar,reinvent,Common
réinvestir,reinvertir,reinvest,Common
réitérer,reiterar,reiterate,Common
rejaillir,resurgir,spring up again,Less Common
rejeter,rechazar,reject,Very Common
rejoindre,reunirse con,join,Very Common
rejouer,volver a jugar,replay,Common
réjouir,alegrar,delight,Common
relâcher,liberar,release,Very Common
relaisser,dejar de nuevo,leave again,Rare
relancer,relanzar,relaunch,Very Common
relater,relatar,relate,Common
relaver,volver a lavar,rewash,Rare
relaxer,relajar,relax,Common
relayer,relevar,relay,Common
reléguer,relegar,relegate,Less Common
relever,levantar,raise,Very Common
relier,conectar,connect,Very Common
relire,releer,reread,Very Common
reloquer,reubicar,relocate,Rare
relouer,volver a alquilar,rerent,Less Common
reluire,relucir,shine,Less Common
remâcher,volver a masticar,chew again,Less Common
remailler,volver a malla,reknit,Rare
remanger,volver a comer,eat again,Rare
remanier,reorganizar,reorganize,Common
remaquiller,volver a maquillar,re-makeup,Rare
remarier,volver a casar,remarry,Less Common
remarchander,volver a negociar,renegotiate,Rare
remarquer,notar,notice,Very Common
remballer,volver a embalar,repackage,Less Common
rembarquer,volver a embarcar,reembark,Less Common
rembarrer,volver a cerrar,close again,Less Common
remblayer,volver a rellenar,backfill,Rare
remboîter,volver a encajar,reassemble,Rare
rembourser,reembolsar,refund,Very Common
rembrunir,oscurecer,darken,Rare
remédier,remediar,remedy,Common
remembrer,recuerda,re-memorialize,Rare
rémémorer,rememorar,reminisce,Less Common
remercier,agradecer,thank,Very Common
remettre,poner,put back,Very Common
remeubler,amueblar,redecorate,Less Common
remiser,almacenar,store,Less Common
remmailler,remendar,reknit,Rare
remmailloter,remendar,reknit,Rare
remmener,volver a llevar,take back,Rare
remodeler,remodelar,remodel,Common
remonter,subir,go up again,Very Common
remordre,morder de nuevo,bite again,Less Common
remorquer,remolcar,tow,Less Common
remoucher,limpiar la nariz,wipe the nose,Rare
remoudre,moler de nuevo,grind again,Rare
remouiller,mojar de nuevo,remoisten,Rare
rempailler,volver a empajar,restuff,Rare
rempaqueter,empaquetar de nuevo,repack,Rare
remplacer,reemplazar,replace,Very Common
remplir,llenar,fill,Very Common
remployer,volver a emplear,re-employ,Rare
remporter,volver a ganar,win again,Very Common
remuer,mover,stir,Very Common
rémunérer,remunerar,remunerate,Common
renâcler,refunfuñar,balk,Less Common
rencaisser,recobrar,re-collect,Rare
renchaîner,encadenar de nuevo,re-chain,Rare
renchérir,encarecer,raise the price,Less Common
rencogner,volver a golpear,hit again,Rare
rencontrer,encontrar,meet,Very Common
rendormir,volver a dormir,fall asleep again,Common
rendosser,respaldar,endorse,Less Common
rendre,devolver,return,Very Common
se rendre,ir,to go,Common
renfermer,volver a encerrar,re-close,Less Common
renflouer,reflotar,refloat,Less Common
renfoncer,hundir de nuevo,push back in,Less Common
renforcer,reforzar,reinforce,Very Common
renfrogner,fruncir el ceño,frown,Less Common
rengager,reenganchar,re-engage,Rare
rengainer,volver a envainar,re-sheath,Less Common
rengorger,engordar de nuevo,regorge,Rare
rengracier,agradecer de nuevo,re-thank,Rare
rengrener,volver a engranar,regear,Rare
renier,negar,deny,Common
renifler,olfatear,sniff,Common
renommer,renombrar,rename,Less Common
renoncer,renunciar,renounce,Very Common
renouer,reanudar,renew,Common
renouveller,renovar,renew,Very Common
rénover,renovar,renovate,Very Common
renseigner,informar,inform,Very Common
rentabiliser,hacer rentable,make profitable,Common
rentamer,comenzar de nuevo,start again,Rare
rentrer,volver,go back,Very Common
renverser,volcar,turn over,Very Common
renvoyer,devolver,return,Very Common
réopérer,operar de nuevo,operate again,Rare
réorchestrer,orquestar de nuevo,orchestrate again,Rare
réorganiser,reorganizar,reorganize,Very Common
réorienter,reorientar,reorient,Common
réparer,reparar,repair,Very Common
repaître,alimentar,feed,Rare
répandre,derramar,spread,Very Common
réparaître,reaparecer,reappear,Rare
réparer,reparar,repair,Less Common
reparler,volver a hablar,talk again,Less Common
repartir,partir de nuevo,depart again,Very Common
repasser,volver a pasar,pass again,Common
repayer,volver a pagar,pay again,Less Common
repêcher,volver a pescar,fish again,Less Common
repeigner,volver a peinar,comb again,Rare
repeindre,volver a pintar,paint again,Common
repentir,arrepentirse,repent,Less Common
répercuter,repercutir,reverberate,Common
réperdre,perder de nuevo,lose again,Rare
répertorier,hacer un inventario,inventory,Common
répéter,repetir,repeat,Very Common
repeupler,repoblar,repopulate,Rare
repincer,pellizcar de nuevo,pinch again,Rare
repiquer,arrancar de nuevo,plant again,Less Common
replacer,volver a colocar,replace,Very Common
replanter,volver a plantar,plant again,Less Common
replâtrer,volver a enyesar,plaster again,Rare
repleuvoir,volver a llover,rain again,Rare
replier,doblar de nuevo,fold again,Common
répliquer,replicar,reply,Common
replonger,volver a sumergirse,dive again,Common
répondre,responder,reply,Very Common
reporter,traer de nuevo,bring back,Very Common
reposer,descansar,rest,Very Common
se reposer,descansar,to rest oneself,Common
repousser,rechazar,reject,Very Common
reprendre,retomar,take up again,Very Common
représenter,representar,represent,Very Common
réprimander,reprender,reprimand,Common
réprimer,reprimir,repress,Common
repriser,remendar,mend,Less Common
reprocher,reprochar,reproach,Very Common
reproduire,reproducir,reproduce,Very Common
réprouver,repruebar,reprove,Less Common
répudier,repudiar,repudiate,Less Common
répugner,repugnar,repel,Common
réputer,tener reputación,reput,Less Common
requérir,requerir,require,Common
réquisitionner,requisar,requisition,Common
resalir,ensuciar de nuevo,get dirty again,Rare
resaler,volver a salar,salt again,Rare
réserver,reservar,reserve,Very Common
résider,residir,reside,Very Common
résigner,resignar,resign,Common
résister,resistir,resist,Very Common
résorber,reabsorber,absorb again,Less Common
résoudre,resolver,solve,Very Common
respecter,respetar,respect,Very Common
respirer,respirar,breathe,Very Common
resplendir,resplandecer,shine,Less Common
ressaisir,recuperar,seize again,Less Common
ressasser,repetir,repeat,Less Common
ressembler,parecer,resemble,Very Common
ressemeler,volver a colocar,re-sole,Rare
ressemer,sembrar de nuevo,reseed,Rare
ressentir,sentir,feel,Very Common
resserrer,apretar,tighten,Common
resservir,servir de nuevo,serve again,Common
ressortir,salir de nuevo,exit again,Very Common
ressouder,soldar de nuevo,weld again,Less Common
ressusciter,resucitar,resurrect,Common
ressuyer,limpiar de nuevo,dry again,Rare
restaurer,restaurar,restore,Very Common
rester,quedarse,stay,Very Common
restituer,restituir,return,Common
restreindre,restringir,restrict,Common
restructurer,reestructurar,restructure,Common
résumer,resumir,summarize,Very Common
rétablir,restablecer,restore,Very Common
retailler,volver a cortar,re-cut,Rare
rétamer,volver a estañar,re-tin,Rare
retapisser,volver a tapizar,re-upholster,Rare
retarder,retrasar,delay,Very Common
retâter,probar de nuevo,taste again,Rare
retendre,volver a tensar,re-tighten,Less Common
retenir,retener,retain,Very Common
retirer,quitar,remove,Very Common
retisser,volver a tejer,reweave,Rare
retomber,caer de nuevo,fall again,Very Common
retordre,retorcer,twist,Rare
retorquer,replicar,retort,Less Common
retoucher,retocar,retouch,Common
retourner,volver,return,Very Common
retracer,retrasar,retrace,Less Common
rétracter,retraer,retract,Rare
retraire,retirar,withdraw,Rare
retrancher,cortar,cut off,Less Common
retranscrire,retranscribir,retranscribe,Less Common
retransmettre,retransmitir,retransmit,Common
retravailler,retrabajar,rework,Common
retraverser,retraspasar,re-cross,Rare
rétrécir,encoger,shrink,Common
retreindre,restringir,restrict,Rare
retempler,templar de nuevo,re-temper,Rare
rétribuer,retribuir,remunerate,Less Common
rétrograder,degradar,demote,Less Common
retrousser,arremangar,roll up,Less Common
retrouver,encontrar,find,Very Common
réunifier,reunificar,reunify,Less Common
réunir,reunir,gather,Very Common
réussir,tener éxito,succeed,Very Common
revacciner,revacunar,revaccinate,Rare
revaloir,valer de nuevo,re-value,Less Common
revaloriser,revalorizar,revalue,Less Common
réveiller,despertar,wake up,Very Common
réveillonner,celebrar la víspera,celebrate New Year's Eve,Less Common
révéler,revelar,reveal,Very Common
revendiquer,reivindicar,claim,Very Common
revendre,revender,resell,Very Common
revenir,volver,come back,Very Common
rêver,soñar,dream,Very Common
reverdir,reverdecer,become green again,Less Common
révérer,reverenciar,revere,Less Common
reverser,revertir,pour back,Less Common
revêtir,revestir,put on,Common
revigorer,revigorar,revitalize,Less Common
revirer,virar de nuevo,veer again,Rare
réviser,revisar,review,Very Common
